Run Date;Combo;Ticker;Fail Count;Top Reason;Top Reason Count;First Failed At;Last Failed At;Reasons JSON
2026-04-26;COMBO;HANF.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;CFRX;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;1UC0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ITRG.TO;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;STP.SI;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ON8.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;JV00.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ASKER.ST;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;IJ6.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;9TS.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;KPJ.KL;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;PA8.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;SCIENTX.KL;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;TCL.A;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;24R.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;RIY0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;03E0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;K4A.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;K19.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;HTGM;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;MONTE.MI;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;TGOD.TO;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;AZ4N.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;6DT.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;CK80.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ADMP;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;4ON0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;KTOA.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;6606.HK;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;0BJ.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;NJK.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;43M.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;EFOR;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;T0Y.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;OLK.ST;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;SLGG;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;65U.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;80G.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;DPW.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;2EB0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;VN20.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;FZX0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;EGLE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;O6Q.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;B25.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;J5N.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;68W.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;YL8.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ANGN;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;4019.SR;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;FH9.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;3UB.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;8287.HK;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;GB2.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;6340.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;69C.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;X65.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;OFH.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;LR7.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;CHKP.TA;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;EIN3.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;AY.L;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ALVER.PA;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;DD3.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;2E8.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;CVN.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ADNOCGAS.AE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;NEXN.TA;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;PEOLES.MX;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;1SO1.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;29TA.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;3ZU0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;D86.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;DP8.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;BS4.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;X4Y.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;IS8.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;7KC.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;M44.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;APC0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;R09.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;MRI0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;R7R.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ZGN.MI;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;NCM.AX;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ALPHA.AT;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;4PX.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;HYM.AX;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;COOP;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;25A0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;3IK.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ZN40.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;CZF.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;OB6.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;G5LN.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;S3F0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;U0Z0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;YC40.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;GOJXN.AS;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;SBER;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;SIRM.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;J7O.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;56R1.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;OU81.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;AY4.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;L37.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;PCH;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;REN.JO;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;AEU.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;B4A1.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;DO8.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;3YM.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ASM.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;SN4.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;SKFINDUS.NS;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;9UG1.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;GAG.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;688249.SS;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;KCO0.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;8VR.F;1;Download leer oder zu kurz;0;;;{}
